序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
182,600036,招商银行,零售业务稳扎稳打,买入,群益证券,3,,,,,,,银行Ⅱ,2018-12-17,https://pdf.dfcfw.com/pdf/H3_AP201812171270270520_1.pdf
183,600036,招商银行,零售领先的股份行，配置性价比尚可,增持,中邮证券,3,,,,,,,银行Ⅱ,2018-11-08,https://pdf.dfcfw.com/pdf/H3_AP201811081240329907_1.pdf
184,600036,招商银行,业绩符合预期，优异基本面支撑龙头溢价,买入,中银国际,3,,,,,,,银行Ⅱ,2018-11-01,https://pdf.dfcfw.com/pdf/H3_AP201811011229685732_1.pdf
185,600036,招商银行,盈利稳步增长，单季度净息差环比略有回升,增持,东吴证券,3,,,,,,,银行Ⅱ,2018-11-01,https://pdf.dfcfw.com/pdf/H3_AP201811011229082877_1.pdf
186,600036,招商银行,半年报点评：营收净利增长强劲，资产状况继续改善,买入,群益证券,3,,,,,,,银行Ⅱ,2018-08-28,https://pdf.dfcfw.com/pdf/H3_AP201808281183727762_1.pdf
187,600036,招商银行,2018年中报点评：新增信贷投放态度审慎，资产质量保持稳定,增持,万联证券,3,,,,,,,银行Ⅱ,2018-08-27,https://pdf.dfcfw.com/pdf/H3_AP201808271183205121_1.pdf
188,600036,招商银行,盈利能力行业领先，资产质量改善趋势延续,买入,中银国际,3,,,,,,,银行Ⅱ,2018-08-27,https://pdf.dfcfw.com/pdf/H3_AP201808271183130167_1.pdf
189,600036,招商银行,高增长低估值，业绩增速持续提升,买入,太平洋,3,,,,,,,银行Ⅱ,2018-08-27,https://pdf.dfcfw.com/pdf/H3_AP201808271183090803_1.pdf
190,600036,招商银行,优势持续扩大，强者恒强,增持,东吴证券,3,,,,,,,银行Ⅱ,2018-08-26,https://pdf.dfcfw.com/pdf/H3_AP201808261183027666_1.pdf
191,600036,招商银行,深度报告：招行零售业务长期竞争优势在哪里？,增持,万联证券,3,,,,,,,银行Ⅱ,2018-07-31,https://pdf.dfcfw.com/pdf/H3_AP201807311172075893_1.pdf
192,600036,招商银行,招商银行2018H业绩快报点评：不良率下降至1.43%，业绩增速较一季度提高0.5个百分点,买入,太平洋,3,,,,,,,银行Ⅱ,2018-07-27,https://pdf.dfcfw.com/pdf/H3_AP201807271170895692_1.pdf
193,600036,招商银行,业绩快报点评：营收净利增长强劲，不良改善超预期,买入,群益证券,3,,,,,,,银行Ⅱ,2018-07-25,https://pdf.dfcfw.com/pdf/H3_AP201807251169946497_1.pdf
194,600036,招商银行,资产质量持续改善，利润增速稳步提升,增持,东吴证券,3,,,,,,,银行Ⅱ,2018-07-25,https://pdf.dfcfw.com/pdf/H3_AP201807251169878381_1.pdf
195,600036,招商银行,零售优势巩固，转型金融科技,买入,中银国际,3,,,,,,,银行Ⅱ,2018-06-29,https://pdf.dfcfw.com/pdf/H3_AP201806291161133587_1.pdf
196,600036,招商银行,业绩持续靓丽，控增速资产结构优化,买入,中银国际,3,,,,,,,银行Ⅱ,2018-05-03,https://pdf.dfcfw.com/pdf/H3_AP201805031136055725_1.pdf
197,600036,招商银行,息差提升超预期，资产质量好转，拨备“自然”释放利润,增持,东吴证券,3,,,,,,,银行Ⅱ,2018-05-02,https://pdf.dfcfw.com/pdf/H3_AP201805021134453822_1.pdf
198,600036,招商银行,年报点评：零售业务稳健增长，金融科技助力转型,买入,中航证券,3,,,,,,,银行Ⅱ,2018-04-04,https://pdf.dfcfw.com/pdf/H3_AP201804041117205114_1.pdf
199,600036,招商银行,四季度资负结构优化，息差扩大促营收增长,,民生证券,3,,,,,,,银行Ⅱ,2018-04-02,https://pdf.dfcfw.com/pdf/H3_AP201804021115372718_1.pdf
200,600036,招商银行,零售优势稳固，ROE率先回升,买入,太平洋,3,,,,,,,银行Ⅱ,2018-03-28,https://pdf.dfcfw.com/pdf/H3_AP201803281112449818_1.pdf
201,600036,招商银行,2017年年报点评：稳健的增长，确定的价值,买入,中银国际,3,,,,,,,银行Ⅱ,2018-03-27,https://pdf.dfcfw.com/pdf/H3_AP201803271111505078_1.pdf
202,600036,招商银行,2017年报点评：零售业务持续高增长，批发金融业务百花齐放,增持,东吴证券,3,,,,,,,银行Ⅱ,2018-03-26,https://pdf.dfcfw.com/pdf/H3_AP201803251110185035_1.pdf
203,600036,招商银行,轻型化转型初见成效，零售优势持续巩固,买入,中银国际,3,,,,,,,银行Ⅱ,2018-02-21,https://pdf.dfcfw.com/pdf/H3_AP201802211093383871_1.pdf
204,600036,招商银行,招商银行快报点评：规模扩张加速促营收增速回升，资产质量稳健向好,,中银国际,3,,,,,,,银行Ⅱ,2018-01-24,https://pdf.dfcfw.com/pdf/H3_AP201801241081385601_1.pdf
